"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 20:07:49 GMT 2022","Tue Jul 05 20:07:53 GMT 2022","4043","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoNumbers","TestSumTwoNumbers()","Összeadás valid adatokkal"
"passed","Tue Jul 05 20:07:53 GMT 2022","Tue Jul 05 20:07:56 GMT 2022","3446","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoInvalidInputs","TestSumTwoInvalidInputs()","Összeadás invalid adatokkal"
